sens,numerobus,numerobuskr,voiturekr,idbus,idligne,etat,destination, nomcourtligne,coordonnees,date,heure
 0, 52476708, 228, '0506', '52476708', '0005', 'En ligne', 'Lycée Bréquigny', 'C5', [48.138796; -1.659307],2023-03-04,19:33:00
 1, 53857674, 234, '0505', '53857674', '0005', 'En ligne', 'Saint-Laurent', 'C5', [48.084404; -1.692006],2023-03-04,19:33:00
 1, 56389445, 245, '0507', '56389445', '0005', 'En ligne', 'Saint-Laurent', 'C5', [48.109853; -1.678155],2023-03-04,19:33:00
 0, 57310089, 249, '0504', '57310089', '0005', 'En ligne', 'Lycée Bréquigny', 'C5', [48.103226; -1.684324],2023-03-04,19:33:00
 1, 57770411, 251, '1004', '57770411', '0010', 'En ligne', 'Beaulieu Chimie', '10', [48.117202; -1.677204],2023-03-04,19:33:00
 1, 58460894, 254, '1102', '58460894', '0011', 'En ligne', 'Saint-Saëns', '11', [48.103508; -1.651511],2023-03-04,19:33:00
 0, 92754883, 403, '1401', '92754883', '0014', 'En ligne', 'Roazhon Park', '14', [48.136567; -1.665305],2023-03-04,19:33:00
 1, 140168049, 609, '1305', '140168049', '0013', 'En ligne', 'Chantepie', '13', [48.093705; -1.673698],2023-03-04,19:33:00
 0, 162263505, 705, '0105', '162263505', '0001', 'En ligne', 'Chantepie', 'C1', [48.1348; -1.621627],2023-03-04,19:33:00
 1, 162723827, 707, '0108', '162723827', '0001', 'En ligne', 'Champs Blancs', 'C1', [48.119501; -1.666948],2023-03-04,19:33:00
 1, 162953988, 708, '0603', '162953988', '0006', 'En ligne', 'Cesson-Sévigné', 'C6', [48.067671; -1.724279],2023-03-04,19:33:00
 0, 164104793, 713, '0207', '164104793', '0002', 'En ligne', 'Haut Sancé', 'C2', [48.118244; -1.689291],2023-03-04,19:33:00
 1, 164565115, 715, '0301', '164565115', '0003', 'En ligne', 'Patton', 'C3', [48.132652; -1.671759],2023-03-04,19:33:00
 1, 168017530, 730, '0202', '168017530', '0002', 'En ligne', 'Saint-Grégoire', 'C2', [48.105782; -1.672855],2023-03-04,19:33:00
 1, 169398496, 736, '0606', '169398496', '0006', 'En ligne', 'Cesson-Sévigné', 'C6', [48.104048; -1.688367],2023-03-04,19:33:00
 1, 169628657, 737, '0608', '169628657', '0006', 'En ligne', 'Cesson-Sévigné', 'C6', [48.091009; -1.704285],2023-03-04,19:33:00
 0, 170779462, 742, '0701', '170779462', '0007', 'En ligne', 'Bruz', 'C7', [48.041424; -1.754602],2023-03-04,19:33:00
 0, 172390589, 749, '0306', '172390589', '0003', 'En ligne', 'Henri Fréville', 'C3', [48.138783; -1.666026],2023-03-04,19:33:00
 1, 172850911, 751, '0702', '172850911', '0007', 'En ligne', 'St-Jacques-Gaîté', 'C7', [48.048112; -1.741234],2023-03-04,19:33:00
 0, 188732020, 820, '0302', '188732020', '0003', 'En ligne', 'Henri Fréville', 'C3', [48.086693; -1.674369],2023-03-04,19:33:00
 0, 191493952, 832, '0110', '191493952', '0001', 'En ligne', 'Chantepie', 'C1', [48.086696; -1.615792],2023-03-04,19:33:00
 0, 209216349, 909, '0604', '209216349', '0006', 'En ligne', 'Aéroport', 'C6', [48.089282; -1.706204],2023-03-04,19:33:00
 1, 209446510, 910, '0101', '209446510', '0001', 'En ligne', 'Champs Blancs', 'C1', [48.090005; -1.623131],2023-03-04,19:33:00
